intention_likelihood_1,AC_Qs_1,AC_Qs_2,AC_Qs_3,AC_Qs_4,AC_Qs_5,AC_Qs_6,AC_Qs_7,AC_Qs_8,AC_Qs_9,AC_Qs_10,AC_Qs_11,AC_Qs_12,AC_Qs_13,AC_Qs_14,AC_Qs_15,AC_Qs_16,AC_Qs_17,AC_Qs_18,AC_Qs_19,AC_Qs_20,AC_Qs_21,AC_Qs_22,AC_Qs_23,AC_Qs_24,sex_history,sex_active,sex_partnernum,relationship_status,rela_exclusive,age,study_content,Condition,CTA
83,9,10,7,6,9,9,9,10,9,8,10,9,6,8,8,9,8,8,9,9,8,8,9,10,2,2,,1,,22,People's perceptions on vaccines,Control,Get vaccinated against HPV today.
10,9,8,7,5,8,10,7,10,7,10,10,8,4,7,9,9,10,6,8,6,8,7,4,4,1,1,1,2,1,23,,Self-Oriented,Protect yourself. Get vaccinated against HPV today.
54,8,10,9,7,9,9,7,7,8,9,10,10,6,8,8,9,9,8,10,10,10,5,7,4,1,1,2,6,1,24,How willing are people getting vaccines if presented information without any fact checkings.,Self-Oriented,Protect yourself. Get vaccinated against HPV today.
100,8,6,4,2,10,9,5,10,8,8,10,10,6,8,4,10,7,6,7,10,6,1,4,10,1,1,2,1,,22,to get opinions on vaccines,Control,Get vaccinated against HPV today.
10,4,9,6,5,7,8,8,8,9,8,9,8,4,9,9,8,9,5,6,7,8,7,6,4,1,2,1,1,,20,HPV vaccines,Other-Oriented,Protect your partner. Get vaccinated against HPV today.
59,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,2,1,18,,Both,Protect yourself and your partner. Get vaccinated against HPV today.
0,7,9,6,6,10,8,10,5,8,9,10,7,2,8,6,10,9,5,9,6,10,2,7,4,1,2,1,2,1,21,Vaccines ,Self-Oriented,Protect yourself. Get vaccinated against HPV today.
30,8,9,6,4,8,10,9,7,5,6,9,8,1,7,6,9,9,2,9,7,10,4,5,1,1,1,1,2,1,24,,Other-Oriented,Protect your partner. Get vaccinated against HPV today.
30,8,10,6,4,10,8,2,10,5,8,9,7,4,10,8,10,7,4,7,8,10,2,6,7,1,1,1,1,,21,How people feel about getting vaccinations ,Control,Get vaccinated against HPV today.
14,4,7,5,7,8,8,5,8,4,8,9,6,8,8,7,8,7,5,10,9,10,10,9,2,1,2,2,1,,23,perceptions,Both,Protect yourself and your partner. Get vaccinated against HPV today.
86,8,10,6,8,9,10,9,7,6,9,9,8,6,10,9,10,8,10,9,7,10,4,10,8,1,1,1,2,1,21,HPV vaccine,Control,Get vaccinated against HPV today.
0,8,10,5,2,9,8,7,2,6,1,7,8,4,8,5,9,7,2,6,6,5,2,1,4,1,1,1,5,1,24,HPV and Vaccine skepticism ,Self-Oriented,Protect yourself. Get vaccinated against HPV today.
14,8,7,5,8,9,10,10,7,4,6,10,4,2,1,8,4,7,2,2,10,10,10,10,9,1,1,4,4,1,26,Vaccines,Both,Protect yourself and your partner. Get vaccinated against HPV today.
10,9,7,10,8,8,9,10,7,10,8,10,10,2,7,9,9,10,2,8,6,9,4,8,4,2,2,,2,2,18,What HPV and my opinion on vaccines and their effectiveness.,Other-Oriented,Protect your partner. Get vaccinated against HPV today.
43,2,9,5,2,10,10,9,6,7,8,10,6,1,8,6,10,9,1,10,10,10,6,6,1,1,1,1,2,1,24,How different demographics view the HPV vaccine,Both,Protect yourself and your partner. Get vaccinated against HPV today.
63,10,9,8,9,10,10,10,10,10,10,10,10,8,9,8,10,10,10,10,10,9,8,10,10,1,1,1,4,1,19,About if people are willing to get a vaccine for a dangerous disease,Self-Oriented,Protect yourself. Get vaccinated against HPV today.
70,8,10,6,9,8,9,7,8,4,10,10,6,8,7,8,8,5,8,5,10,5,6,4,7,2,2,,1,,26,People’s reactions to the HPV vaccination and HPV in general,Other-Oriented,Protect your partner. Get vaccinated against HPV today.
0,2,9,8,1,10,7,8,5,4,6,7,8,1,10,7,9,8,2,9,10,10,4,2,1,2,2,,1,,20,Seeing how people's opinions on vaccines are related to their values and morals.,Other-Oriented,Protect your partner. Get vaccinated against HPV today.
49,6,9,8,5,8,7,8,4,7,5,7,9,4,7,6,7,8,4,7,7,6,4,4,5,1,2,2,1,,22,,Self-Oriented,Protect yourself. Get vaccinated against HPV today.
0,1,10,5,2,8,9,7,2,1,7,8,4,2,9,10,10,10,1,10,10,5,2,2,1,1,1,1,5,1,20,,Control,Get vaccinated against HPV today.
70,7,8,4,6,8,8,7,6,6,7,5,7,6,9,8,6,6,6,7,10,9,8,7,7,1,2,1,1,,24,people/s willingness to get vaccinated for HPV,Both,Protect yourself and your partner. Get vaccinated against HPV today.
26,8,9,6,5,7,6,4,7,2,9,8,7,2,2,7,6,8,9,5,5,4,2,4,9,1,1,1,2,1,25,Trust of vaccines ,Both,Protect yourself and your partner. Get vaccinated against HPV today.
63,10,7,4,8,8,10,2,10,8,6,2,4,5,7,5,9,2,8,5,10,6,1,6,2,1,2,1,1,,18,,Other-Oriented,Protect your partner. Get vaccinated against HPV today.
92,10,7,9,8,9,9,10,8,8,9,9,9,8,10,9,9,10,7,10,10,10,4,7,8,1,1,2,1,,18,,Control,Get vaccinated against HPV today.
75,6,9,5,8,10,9,5,10,6,10,10,9,6,7,9,7,9,9,10,8,10,10,6,10,2,2,,1,,21,The study is likely about comparing perception of vaccines before and after being given information,Self-Oriented,Protect yourself. Get vaccinated against HPV today.
48,5,5,4,6,9,2,10,7,8,9,9,1,2,4,2,2,10,10,9,10,1,2,2,4,1,1,2,1,,22,HPV and thoughts on vaccine,Other-Oriented,Protect your partner. Get vaccinated against HPV today.
30,9,10,8,8,10,10,9,8,8,5,7,9,8,6,2,8,9,4,9,9,6,7,6,4,2,2,,1,,24,What I think about the introduction about a new vaccine.,Both,Protect yourself and your partner. Get vaccinated against HPV today.
20,7,2,8,9,6,10,9,10,10,10,8,5,6,5,9,10,8,10,9,10,6,8,9,10,1,1,2,1,,22,Attitudes regarding HPV,Control,Get vaccinated against HPV today.
20,6,7,4,5,9,10,4,8,2,9,10,6,1,5,1,8,7,6,5,10,9,2,5,10,1,2,1,1,,23,I believe this study is trying to gauge perceptions around the HPV vaccine among a certain demographic. And also trying to gather why they have those perceptions based on certain questions.,Self-Oriented,Protect yourself. Get vaccinated against HPV today.
10,6,7,8,6,8,9,9,6,9,6,7,6,5,8,7,8,9,5,8,6,7,4,4,5,2,2,,1,,19,,Self-Oriented,Protect yourself. Get vaccinated against HPV today.
20,8,10,9,5,10,6,8,9,9,7,10,10,2,7,8,10,9,4,9,9,9,5,7,2,2,2,,4,2,24,The study checks for understanding of vaccines and whether the general public supports or dislikes vaccines.,Both,Protect yourself and your partner. Get vaccinated against HPV today.
40,7,9,9,8,10,10,10,9,9,9,9,9,2,9,8,9,9,7,9,7,9,7,5,5,1,1,2,2,1,25,HPV Vaccine,Other-Oriented,Protect your partner. Get vaccinated against HPV today.
14,8,5,5,9,6,7,10,9,6,7,6,7,4,7,10,9,6,5,7,7,10,8,5,5,1,1,1,2,1,21,Beliefs about vaccines,Control,Get vaccinated against HPV today.
38,8,8,9,5,10,8,9,8,7,8,9,9,7,8,8,9,10,8,9,7,6,6,7,7,1,1,1,1,,24,testing people apprehension toward vaccines.,Other-Oriented,Protect your partner. Get vaccinated against HPV today.
29,5,7,4,5,6,7,5,2,5,7,6,5,6,7,5,6,5,7,6,8,7,6,2,5,1,1,4,2,1,24,,Control,Get vaccinated against HPV today.
4,5,6,7,4,9,10,9,6,7,9,9,6,1,10,9,10,10,1,10,10,10,9,10,1,1,1,1,6,1,23,Hpv,Both,Protect yourself and your partner. Get vaccinated against HPV today.
31,6,9,6,7,9,9,10,8,7,9,7,7,7,9,9,10,9,7,7,8,9,7,6,9,1,2,1,1,,25,,Self-Oriented,Protect yourself. Get vaccinated against HPV today.
75,4,7,7,9,10,10,10,7,6,9,10,7,5,9,9,10,10,1,6,8,9,6,1,1,1,1,4,2,1,26,Opinions about vaccines after reading statistics on the illnesses they treat,Self-Oriented,Protect yourself. Get vaccinated against HPV today.
70,7,9,8,6,7,9,8,7,9,8,9,9,6,8,8,9,9,7,8,8,8,5,4,5,2,2,,1,,21,Seeing who will get the HPV vaccine,Both,Protect yourself and your partner. Get vaccinated against HPV today.
60,6,7,9,2,8,10,10,4,8,6,7,8,1,9,7,10,9,1,9,7,8,2,4,4,2,2,,1,,19,,Control,Get vaccinated against HPV today.
0,5,7,6,2,8,6,9,9,10,8,9,7,1,7,8,10,10,1,9,8,10,2,8,1,1,1,2,4,1,23,HPV vaccine opinions,Other-Oriented,Protect your partner. Get vaccinated against HPV today.
0,9,10,5,2,10,10,8,9,6,5,10,7,6,8,10,10,10,8,9,10,8,8,5,5,1,1,1,2,1,25,,Self-Oriented,Protect yourself. Get vaccinated against HPV today.
10,9,9,7,8,10,10,10,10,6,9,10,10,9,9,8,8,9,8,10,10,10,10,6,6,2,2,,1,,25,,Other-Oriented,Protect your partner. Get vaccinated against HPV today.
60,8,10,7,4,10,9,10,9,10,8,10,10,1,8,7,10,10,4,8,9,10,5,6,1,1,1,1,6,1,26,Seeing what is stopping people from getting the HPV vaccine and trying to convince them to get it,Both,Protect yourself and your partner. Get vaccinated against HPV today.
25,7,8,5,7,9,6,10,10,10,8,9,9,9,4,6,9,4,9,5,6,4,7,7,2,1,1,1,4,1,21,vaccines,Control,Get vaccinated against HPV today.
0,7,7,7,5,9,8,10,10,10,10,10,10,5,6,6,10,10,4,10,9,10,4,10,6,1,1,3,2,1,24,Vaccines,Self-Oriented,Protect yourself. Get vaccinated against HPV today.
60,7,8,5,2,9,7,9,8,6,4,7,8,2,8,1,8,6,2,7,8,9,2,2,1,2,2,,1,,25,General thoughts about vaccine and ideology behind it ,Other-Oriented,Protect your partner. Get vaccinated against HPV today.
63,5,6,8,6,8,6,9,7,7,6,8,8,4,5,5,8,7,6,6,7,8,6,7,2,2,2,,2,1,22,HPV,Control,Get vaccinated against HPV today.
10,10,10,7,5,10,7,10,10,6,8,7,9,2,8,6,10,7,8,10,7,10,2,4,1,1,1,1,2,1,24,"Learned about HPV, but it did not feel relevant to my life. ",Both,Protect yourself and your partner. Get vaccinated against HPV today.
100,5,9,2,1,10,10,10,6,4,10,10,7,1,6,5,10,5,1,8,9,10,2,1,1,2,2,,1,,24,,Other-Oriented,Protect your partner. Get vaccinated against HPV today.
11,5,6,9,8,10,9,10,9,9,7,8,9,6,8,6,7,10,5,9,9,10,6,9,5,2,2,,1,,21,,Both,Protect yourself and your partner. Get vaccinated against HPV today.
37,9,10,8,5,9,8,7,9,10,5,9,10,7,10,9,10,10,6,5,5,5,5,6,8,2,2,,1,,20,People's opinions on HPV Vaccines.,Self-Oriented,Protect yourself. Get vaccinated against HPV today.
60,9,10,8,7,6,8,9,9,10,9,10,10,7,9,10,9,10,8,10,9,10,7,9,7,2,2,,1,,22,Awareness of HPV and HPV vaccines ,Control,Get vaccinated against HPV today.
81,8,7,6,7,9,9,8,8,9,9,8,7,6,8,7,9,9,6,8,9,9,6,8,5,1,1,3,3,,22,was informational,Other-Oriented,Protect your partner. Get vaccinated against HPV today.
83,7,10,4,2,10,9,8,7,5,5,7,6,1,8,9,8,6,2,7,9,9,2,5,2,1,1,1,2,1,21,solid. Gave me more info on the  vaccine which is good,Control,Get vaccinated against HPV today.
85,2,10,7,4,10,9,6,10,8,2,10,10,6,10,8,10,10,1,10,4,6,1,7,6,2,3,,1,,26,,Self-Oriented,Protect yourself. Get vaccinated against HPV today.
82,10,10,9,9,10,10,10,10,10,10,9,9,9,9,10,10,9,9,10,9,10,9,10,9,2,2,,1,,19,Vaccines,Both,Protect yourself and your partner. Get vaccinated against HPV today.
18,7,9,6,5,9,9,6,7,5,5,4,4,2,8,9,10,8,5,2,6,7,7,4,2,1,1,1,2,1,26,Getting people's opinions on a vaccine after presented with certain information,Both,Protect yourself and your partner. Get vaccinated against HPV today.
5,2,10,6,4,9,9,8,4,7,4,7,9,1,8,7,7,9,2,9,8,10,4,2,1,1,2,1,1,,24,People's opinion of the HPV vaccine. ,Other-Oriented,Protect your partner. Get vaccinated against HPV today.
35,8,10,5,5,8,8,6,8,4,4,9,5,4,7,7,8,7,4,7,9,8,4,4,4,2,2,,1,,24,,Self-Oriented,Protect yourself. Get vaccinated against HPV today.
35,5,8,7,7,8,7,8,9,7,7,7,8,5,6,7,7,9,7,6,5,8,8,2,4,1,2,1,1,,22,What the public thinks about a new type of vaccine,Control,Get vaccinated against HPV today.
50,1,10,10,7,9,10,9,9,10,10,10,10,1,10,10,10,9,6,10,10,6,8,10,7,1,2,1,1,,25,sex life,Self-Oriented,Protect yourself. Get vaccinated against HPV today.
85,9,9,8,5,9,8,8,7,7,6,9,9,5,8,6,8,9,5,8,9,9,9,8,5,1,1,1,2,1,19,,Control,Get vaccinated against HPV today.
2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,2,1,,26,,Other-Oriented,Protect your partner. Get vaccinated against HPV today.
75,4,5,8,4,9,6,9,7,9,4,10,7,2,9,7,10,10,4,10,8,9,2,4,1,1,2,2,1,,24,Vaccines and the types of people who take them,Both,Protect yourself and your partner. Get vaccinated against HPV today.
0,9,8,6,7,8,7,9,7,8,7,9,8,6,8,9,9,8,5,9,8,9,5,7,2,2,2,,1,,23,HPV Vaccine,Other-Oriented,Protect your partner. Get vaccinated against HPV today.
65,4,2,4,10,5,1,5,8,7,9,2,6,6,1,10,1,4,9,6,2,4,7,10,9,1,1,1,5,1,26,,Both,Protect yourself and your partner. Get vaccinated against HPV today.
70,9,9,6,4,10,7,6,7,8,8,10,5,1,8,7,10,8,2,9,9,10,4,9,1,1,1,2,2,1,21,Views on vaccines. ,Self-Oriented,Protect yourself. Get vaccinated against HPV today.
20,10,10,5,7,9,10,8,10,9,10,10,7,6,9,10,10,10,9,9,8,10,9,4,7,1,1,1,6,1,25,HPV,Other-Oriented,Protect your partner. Get vaccinated against HPV today.
68,5,8,6,9,10,7,9,4,10,4,8,8,1,7,6,10,10,2,9,6,8,2,6,2,3,2,,1,,24,People's trust and opinion on vaccines  ,Control,Get vaccinated against HPV today.
0,8,10,7,1,10,10,10,10,8,8,10,7,1,10,10,10,10,1,10,10,7,1,6,1,1,2,1,1,,26,,Both,Protect yourself and your partner. Get vaccinated against HPV today.
85,8,9,9,4,8,9,8,8,8,7,9,9,4,8,8,8,8,6,8,8,9,7,5,2,1,1,1,1,,21,Opinions on vaccines?,Self-Oriented,Protect yourself. Get vaccinated against HPV today.
50,10,10,8,9,10,10,7,10,9,10,10,10,10,7,8,9,9,10,10,9,10,10,10,10,1,1,1,2,3,19,,Control,Get vaccinated against HPV today.
0,7,10,8,2,10,9,10,8,9,8,10,10,2,9,5,10,10,2,10,7,10,2,9,4,2,2,,1,,18,HPV Vaccines,Self-Oriented,Protect yourself. Get vaccinated against HPV today.
35,8,7,6,5,9,9,10,9,7,8,9,9,4,10,9,9,9,7,9,10,9,8,6,5,1,1,4,4,1,21,,Both,Protect yourself and your partner. Get vaccinated against HPV today.
30,7,6,5,2,9,10,6,4,2,8,9,6,8,5,4,7,2,4,7,9,5,2,1,4,3,2,,1,,26,seeing different population characteristics' views on vaccines,Control,Get vaccinated against HPV today.
75,4,6,1,1,1,2,1,1,1,1,1,5,7,7,4,1,1,8,1,10,1,10,1,10,1,1,1,2,1,19,,Other-Oriented,Protect your partner. Get vaccinated against HPV today.
80,5,5,8,10,10,2,9,9,10,9,9,9,1,8,7,9,9,2,8,10,9,2,10,4,1,2,1,1,,22,Opinions of young adults on the HPV vaccine,Other-Oriented,Protect your partner. Get vaccinated against HPV today.
0,7,6,8,4,5,5,10,7,6,2,10,5,1,4,4,9,8,2,6,9,7,1,5,2,2,2,,1,,24,Evaluating participants thoughts on vaccines,Both,Protect yourself and your partner. Get vaccinated against HPV today.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other-Oriented,Protect your partner. Get vaccinated against HPV today.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Self-Oriented,Protect yourself. Get vaccinated against HPV today.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Self-Oriented,Protect yourself. Get vaccinated against HPV today.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Control,Get vaccinated against HPV today.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Control,Get vaccinated against HPV today.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other-Oriented,Protect your partner. Get vaccinated against HPV today.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Self-Oriented,Protect yourself. Get vaccinated against HPV today.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other-Oriented,Protect your partner. Get vaccinated against HPV today.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Self-Oriented,Protect yourself. Get vaccinated against HPV today.
1,5,4,7,8,6,7,6,4,5,2,2,5,8,2,8,6,5,5,5,5,7,10,8,4,2,2,,1,,20,,Other-Oriented,Protect your partner. Get vaccinated against HPV today.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other-Oriented,Protect your partner. Get vaccinated against HPV today.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Self-Oriented,Protect yourself. Get vaccinated against HPV today.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other-Oriented,Protect your partner. Get vaccinated against HPV today.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Control,Get vaccinated against HPV today.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Self-Oriented,Protect yourself. Get vaccinated against HPV today.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other-Oriented,Protect your partner. Get vaccinated against HPV today.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Both,Protect yourself and your partner. Get vaccinated against HPV today.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Control,Get vaccinated against HPV today.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other-Oriented,Protect your partner. Get vaccinated against HPV today.
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Control,Get vaccinated against HPV today.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Self-Oriented,Protect yourself. Get vaccinated against HPV today.
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Self-Oriented,Protect yourself. Get vaccinated against HPV today.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Control,Get vaccinated against HPV today.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other-Oriented,Protect your partner. Get vaccinated against HPV today.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other-Oriented,Protect your partner. Get vaccinated against HPV today.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Self-Oriented,Protect yourself. Get vaccinated against HPV today.
17,9,10,8,4,9,6,10,9,6,8,10,5,1,9,10,10,10,6,8,10,6,8,2,1,1,1,1,2,1,26,,Control,Get vaccinated against HPV today.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Control,Get vaccinated against HPV today.
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Both,Protect yourself and your partner. Get vaccinated against HPV today.
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Control,Get vaccinated against HPV today.
74,4,4,8,8,7,6,8,8,8,8,4,8,7,9,7,7,7,5,9,9,9,9,9,9,,,,,,,,Other-Oriented,Protect your partner. Get vaccinated against HPV today.
61,7,5,2,9,6,8,7,2,8,6,9,4,4,10,6,2,8,5,9,9,5,8,2,6,1,3,3,1,,21,The study is about HPV vaccines,Self-Oriented,Protect yourself. Get vaccinated against HPV today.
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Self-Oriented,Protect yourself. Get vaccinated against HPV today.
73,8,8,8,6,8,8,10,8,10,8,10,10,4,10,8,10,10,6,10,9,10,7,7,7,1,1,1,6,1,25,HPV Vaccine,Both,Protect yourself and your partner. Get vaccinated against HPV today.
0,8,7,4,2,5,8,8,9,4,7,6,7,1,8,9,7,7,5,7,10,5,2,6,1,1,1,1,2,1,26,Understanding how personality or relationship status affects desire to get a STD vaccine,Other-Oriented,Protect your partner. Get vaccinated against HPV today.
6,8,8,5,6,7,8,9,9,5,6,7,8,8,6,9,8,7,8,8,10,8,6,6,9,1,1,1,4,1,19,About how people view the HPV Vaccine. ,Self-Oriented,Protect yourself. Get vaccinated against HPV today.
50,7,9,10,7,10,9,9,10,10,9,7,9,1,9,10,10,10,1,7,8,10,6,1,1,2,2,,1,,22,"Whether vaccine hesitancy has risen in the wake of the coronavirus, and whether that hesitancy changes based on being presented with different information.",Control,Get vaccinated against HPV today.
3,9,10,5,7,4,10,6,10,8,10,4,6,5,9,7,7,8,10,6,10,5,4,1,10,1,1,1,1,,19,HPV virus information and attitudes on aspects of life,Other-Oriented,Protect your partner. Get vaccinated against HPV today.
10,10,10,7,1,9,10,8,9,9,10,9,6,5,8,8,9,9,10,9,10,8,5,7,8,3,3,,1,,20,No idea.,Self-Oriented,Protect yourself. Get vaccinated against HPV today.
10,10,7,1,10,6,6,4,9,10,2,8,6,10,2,1,10,6,8,10,6,7,9,1,6,3,3,,1,,20,Young people's willingness to get a vaccine.,Control,Get vaccinated against HPV today.
2,9,8,7,4,7,10,5,10,4,8,9,8,7,8,9,7,6,4,8,7,9,8,5,9,2,2,,1,,22,Determining HPV vaccine attitudes,Self-Oriented,Protect yourself. Get vaccinated against HPV today.
40,9,10,6,4,8,9,9,7,6,9,8,5,4,10,8,7,6,2,8,5,6,4,2,5,2,2,,1,,19,,Other-Oriented,Protect your partner. Get vaccinated against HPV today.
60,7,8,7,7,8,8,9,8,9,8,8,8,6,8,9,9,9,7,9,8,9,9,9,9,3,3,,1,,19,To spread info about the vaccine,Both,Protect yourself and your partner. Get vaccinated against HPV today.
60,10,8,6,4,5,7,6,5,4,4,8,9,2,10,8,7,8,8,5,7,10,2,2,1,2,2,,1,,23,,Control,Get vaccinated against HPV today.
50,2,10,6,1,9,8,7,1,10,6,9,8,1,8,7,9,8,2,5,6,7,4,4,5,1,2,2,2,1,26,,Control,Get vaccinated against HPV today.
40,7,10,8,6,9,8,9,6,7,8,9,10,4,5,8,7,9,5,7,8,10,2,7,4,1,1,1,6,1,21,HPV Vaccine Study,Both,Protect yourself and your partner. Get vaccinated against HPV today.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Self-Oriented,Protect yourself. Get vaccinated against HPV today.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,7,10,5,4,9,10,7,6,8,5,10,6,1,2,1,6,7,1,7,2,5,1,4,1,1,1,2,1,,24,Public perception of vaccines,Self-Oriented,Protect yourself. Get vaccinated against HPV today.
85,5,8,5,5,8,8,8,6,8,8,8,8,6,8,8,8,8,5,8,8,9,5,7,6,1,1,1,1,,22,Peoples perceptions of vaccines.,Both,Protect yourself and your partner. Get vaccinated against HPV today.
0,6,5,9,8,10,10,7,10,7,10,10,4,7,2,6,10,4,8,5,9,1,7,5,9,2,2,,1,,19,How factors influence people's willingness to get the HPV vaccine.,Other-Oriented,Protect your partner. Get vaccinated against HPV today.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Control,Get vaccinated against HPV today.
50,10,9,8,9,9,8,10,9,8,10,9,9,6,9,9,10,9,7,10,8,10,7,9,6,1,2,2,2,1,25,General public thoughts on vaccinations.,Other-Oriented,Protect your partner. Get vaccinated against HPV today.
30,5,4,9,7,8,9,8,5,10,7,9,10,2,7,6,8,10,1,10,6,9,1,9,2,2,2,,1,,18,The HPV vaccine.,Self-Oriented,Protect yourself. Get vaccinated against HPV today.
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other-Oriented,Protect your partner. Get vaccinated against HPV today.
7,5,7,5,6,8,7,7,8,8,8,9,7,6,8,7,7,6,8,6,6,7,7,7,6,1,1,1,2,1,25,up to interpretation,Control,Get vaccinated against HPV today.
45,6,8,8,2,5,9,6,9,8,9,1,7,1,10,4,7,10,2,9,5,4,7,1,1,1,1,2,4,1,26,How people respond to scientific information,Other-Oriented,Protect your partner. Get vaccinated against HPV today.
49,8,9,8,7,9,10,10,8,7,8,7,9,5,10,8,10,10,7,9,8,10,6,4,2,1,1,1,2,1,23,,Self-Oriented,Protect yourself. Get vaccinated against HPV today.
5,8,6,6,6,7,6,6,7,6,6,6,6,6,7,6,7,6,7,6,7,7,6,6,8,2,2,,1,,19,How likely the participant is to get the HPV vaccine and if they trust it. ,Both,Protect yourself and your partner. Get vaccinated against HPV today.
11,9,9,6,7,10,10,9,9,8,4,9,8,2,9,9,9,8,5,8,8,9,4,2,1,1,1,1,2,1,23,Determining how motivated people feel to get a vaccine for a disease that they may not have a high chance of contracting.,Control,Get vaccinated against HPV today.
80,10,7,5,2,8,6,8,9,6,9,8,5,2,8,4,7,6,1,7,7,9,1,6,4,2,2,,1,,20,,Other-Oriented,Protect your partner. Get vaccinated against HPV today.
100,7,10,9,6,10,10,8,6,7,5,8,9,1,8,7,10,9,2,10,8,10,4,5,2,1,1,4,2,1,25,Peculiar,Both,Protect yourself and your partner. Get vaccinated against HPV today.
0,10,9,8,7,8,10,10,10,8,10,9,10,10,10,8,10,10,8,10,10,10,7,8,10,1,2,2,1,,22,,Self-Oriented,Protect yourself. Get vaccinated against HPV today.
50,9,10,8,9,10,10,10,7,10,8,10,10,10,7,7,10,8,8,8,10,8,9,8,8,2,2,,1,,20,general thoughts about the HPV vaccine ,Control,Get vaccinated against HPV today.
11,8,10,8,9,4,8,7,9,7,9,8,2,6,4,9,6,7,2,4,10,6,7,4,8,1,2,1,1,,22,"HPV, I guess",Other-Oriented,Protect your partner. Get vaccinated against HPV today.
70,4,8,10,2,10,9,10,7,8,7,10,10,7,9,9,10,10,6,9,9,10,6,4,4,1,1,1,6,1,24,The HPV Vaccine ,Control,Get vaccinated against HPV today.
10,6,6,4,4,5,7,6,5,4,4,8,7,2,2,6,6,5,2,5,9,6,1,1,2,1,1,2,1,,24,,Self-Oriented,Protect yourself. Get vaccinated against HPV today.
12,10,10,5,10,9,10,7,10,4,10,4,7,10,7,8,8,8,10,7,10,10,10,2,9,2,2,,1,,18,,Both,Protect yourself and your partner. Get vaccinated against HPV today.
1,8,6,5,7,8,7,7,7,8,7,7,7,9,8,5,8,7,6,8,8,5,7,8,5,1,1,2,2,1,21,,Self-Oriented,Protect yourself. Get vaccinated against HPV today.
36,6,7,8,2,9,9,8,7,7,9,9,8,1,6,4,9,9,2,9,9,8,5,5,4,1,1,2,2,1,22,perhaps how our opinions on vaccines relate to personality ratings but I am not 100% confident on this!,Control,Get vaccinated against HPV today.
70,7,10,8,6,9,8,7,6,8,9,9,10,6,10,8,7,9,4,10,6,9,5,2,2,1,1,2,1,,26,People's opinions on the HPV vaccine,Both,Protect yourself and your partner. Get vaccinated against HPV today.
51,6,9,5,8,8,9,8,7,7,8,5,7,2,9,8,8,8,5,6,7,8,8,2,1,3,3,,1,,20,,Other-Oriented,Protect your partner. Get vaccinated against HPV today.
